iter	RMSE
139	45302.28258
140	45302.06077
141	45281.50622
142	45268.61911
143	45221.70583
144	45203.77164
145	45176.61571
146	45134.88006
147	45123.75285
148	45122.57268
149	45078.42844
150	45056.27283
151	45011.23589
152	44972.74176
153	44954.28995
154	44953.24592
155	44946.84099
156	44924.45069
157	44919.40475
158	44862.42814
159	44844.3651
160	44814.4059
161	44804.35171
162	44801.03851
163	44796.81895
164	44783.35321
165	44782.61535
166	44741.11234
167	44734.5814
168	44697.66337
169	44669.13778
170	44641.86305
171	44621.37859
172	44586.31438
173	44582.40309
174	44566.76271
175	44551.8443
176	44551.50872
177	44532.53534
178	44491.66751
179	44480.74367
180	44455.46253
181	44451.22892
182	44437.68278
183	44430.49426
184	44399.87735
185	44392.3843
186	44390.94407
187	44356.49426
188	44346.49737
189	44343.01508
190	44322.07831
191	44286.5108
192	44269.81991
193	44218.28845
194	44215.53042
195	44187.23343
196	44170.35758
197	44161.53926
198	44114.35363
199	44102.78137
200	44097.74133
201	44094.07982
202	44056.28358
203	44026.59208
204	44026.17252
205	44013.15526
206	43966.27999
207	43919.44484
208	43887.33917
209	43858.83747
210	43833.43091
211	43826.01907
212	43801.4206
213	43786.8376
214	43751.47861
215	43736.59716
216	43736.18989
217	43704.00352
218	43703.46416
219	43677.86462
220	43643.7376
221	43643.51106
222	43614.3844
223	43592.14983
224	43591.53492
225	43582.56151
226	43563.40814
227	43534.96575
228	43518.71229
229	43497.06363
230	43482.47866
231	43455.96308
232	43437.99959
233	43425.58354
234	43405.24121
235	43384.60893
236	43384.14897
237	43365.20123
238	43344.02085
239	43331.10437
240	43312.99885
241	43271.34539
242	43253.7238
243	43234.29208
244	43233.19368
245	43219.42227
246	43219.03755
247	43200.48161
248	43196.1088
249	43191.84254
250	43186.09338
251	43168.10283
252	43136.28345
253	43123.13515
254	43106.61827
255	43089.8894
256	43064.6996
257	43034.04151
258	43004.2583
259	42987.33199
260	42956.34707
261	42952.35441
262	42926.21252
263	42909.91993
264	42895.10066
265	42894.3314
266	42883.23121
267	42882.19714
268	42881.45944
269	42856.81189
270	42853.84507
271	42815.28657
272	42791.76845
273	42767.34698
274	42738.6244
275	42732.59432
276	42722.21964
277	42702.28727
278	42676.38291
279	42676.07594
280	42673.01723
281	42671.45688
282	42663.8882
283	42663.25905
284	42662.62381
285	42653.66936
286	42634.91248
287	42631.0847
288	42605.15037
289	42573.43448
290	42558.78395
291	42551.45289
292	42536.84579
293	42513.89945
294	42469.02191
295	42454.92362
296	42450.796
297	42421.45914
298	42399.46328
299	42331.39603
300	42317.67239
301	42308.39265
302	42291.31512
303	42282.99849
304	42274.75158
305	42240.42756
306	42177.48467
307	42170.38159
308	42154.06447
309	42147.47327
310	42104.679
311	42097.90574
312	42091.50025
313	42085.33335
314	42069.61681
315	42065.29126
316	42042.7224
317	42002.74542
318	41984.92665
319	41955.76735
320	41947.06482
321	41941.45595
322	41926.067
323	41920.57811
324	41905.23759
325	41878.03217
326	41865.34132
327	41853.1749
328	41806.40629
329	41790.31538
330	41766.60219
331	41762.51835
332	41735.5216
333	41734.85937
334	41734.24066
335	41729.35862
336	41703.76521
337	41692.17946
338	41684.64513
339	41661.62647
340	41661.07805
341	41660.53257
342	41655.67203
343	41633.70517
344	41610.88734
345	41574.44378
346	41563.58581
347	41558.28657
348	41541.14799
349	41540.66191
350	41540.20743
351	41529.71738
352	41524.63932
353	41511.57987
354	41488.25756
355	41472.89881
356	41472.38856
357	41452.14797
358	41425.16255
359	41400.13479
360	41399.66556
361	41366.13663
362	41356.51876
363	41342.82401
364	41323.29618
365	41278.8618
366	41256.60557
367	41251.67384
368	41245.67723
369	41209.71168
370	41199.08803
371	41179.65645
372	41175.22446
373	41133.51414
374	41099.50355
375	41086.6328
376	41082.55069
377	41082.0915
378	41072.17257
379	41046.67485
380	41045.63732
381	41026.79723
382	41006.27458
383	40983.60649
384	40979.03927
385	40961.28305
386	40922.23369
387	40921.24734
388	40903.79038
389	40902.94299
390	40875.3574
391	40857.97105
392	40826.10687
393	40820.81103
394	40790.26539
395	40785.96313
396	40773.68178
397	40773.47292
398	40769.60839
399	40769.41672
